Shelter Number,Address,Capacity
678,3 Nachshon St.,32
,,
681,8 Efrayim St.,80
682 - Temporarily Inactive,14 Reuven St.,108
,,
683,54 Hebron Rd.,136
,,
684,6 Esther HaMalka St.,236
,,
685,6 Mordechai HaYehudi St.,160
823? - Temporarily Inactive,13 Shimshon St.,104
,,
836,27 Menashe St.,80
,,
980,22 ?Rivka St.,80
,,
984,11 Ya'el St.,128
,,
988? - Temporarily Inactive,5 Kibbutz Galuyot St.,112
,,
995,3 Levi St.,80
,,
742,7 Sha'arei Tora St.,216
,,
743,39 Bayit VaGan St.,92
,,
744,4 HaBanai St.,136
,,
745,30 HaBanai St.,136
,,
613,14 Shimshon Polanski St.ÿ,224
619 - Temporarily Inactive,4 Yosef Karo St.,64
625,22 Sha'arei Shamayim St.,32
,,
626,22 Baruch Rapaport St.,80
628,8 Amelim St.,32
,,
841,25 Yoel St.,80
,,
908,22 Shimshon Polanski St.,80
,,
608,44 Adoniyahu HaCohen St.,320
,,
609,Yisa Bracha St 23,200
,,
610,10 Aharon Fishel St.,32
,,
,,
611,11 Ben Tsiyon Gol St.,120
,,
612,16 Yoel St.,40
,,
620,27 Yehezkhel St.,40
,,
910,Ovadya St 22,80
,,
639,2 Michel Pines St.,200
652,26 HaNevi'im St.,32
932,38 HaGilboa St.,80
973,5 HaRav Aviyada St.,80
974,9 Shmuel Hanagid St.,80
985,13 Strauss St.,40
903,82 Homat HaTzalafim St.,96
672,10 Ruth St.,120
,,
,,
670,9 Bostanai St.,112
,,
673,3 Malal St.,91
674,7 Bachar St.,120
676,6 Emile Zola St.,80
,,
677,6 Wyndham Deedes St.,232
,,
692,60 Emek Refaim St.,200
,,
693,9 Yotam St.,136
,,
697,27 Yehoshua Bin Nun St.,128
,,
804,8 HaMelits St.,80
998,6 Aba Berdichev St.,80
,,
694,1 Amatsiya St.,160
,,
,,
,,
695,2 Amatsiya St.,200
614,16 Shlomo Musayof St.,32
621,8 Hoshe'a St.,80
,,
623,14 Zechariah HaRofeh St.ÿ,32
635,15 Avodat Yisrael St.,32
637,18 Nahman MiBreslev St.,80
,,
830,25 Tsfanya St.,80
,,
904,7 HaZayit St.,100
,,
715,52 David Shimoni St.,144
,,
949,33 HaTayasim St.,80
,,
808,27 Yisrael Najara St.,80
,,
700,15 David Shimoni St.,67
,,
726,123 HaNurit St.,280
727,104 HaNurit St.,148
728,102 HaNurit St.,148
,,
829,9 HaRakefet St.,32
,,
840,70 Costa Rica St.,32
,,
901,13 Iceland St ,120
902,29 HaNurit St.,200
,,
905,1 HaNerd St.,110
663,6 HaAmora'?m St.,48
704,5 Yohanan Ben Zakai St.,160
704 A,5 Yohanan ben Zakai St.,160
,,
705,7 Ma'agalei Yavne St.,320
,,
707,22 Rashbag St.,32
709,5 Ben Tabai St.,128
710,70 Yohanan ben Zakai St.,128
714,3 Kana'ei HaGalil St.,32
718,6 Rabbi Tzadok St.,96
,,
755,3 Dov Hoz St.,80
,,
756,1 San Martin St.,80
,,
,,
757,5 HaShomer St.,80
,,
,,
,,
805,21 Yordei HaSira St.,296
,,
817,7 Yehoshua Ben Gamla St.,96
,,
824,31 Rashbag St.,120
,,
825,24 Elazar Ben Yair St.,120
,,
,,
,,
828,10 HaRav Hasda St.,80
,,
831,7 Dov Hoz St.,120
,,
842,8 Bar Yochai St.,139
906,2 Bar Yochai St.,80
,,
965,7 Yitzhak Sadeh St.,80
,,
967,7 Antignos St.,80
,,
969,16 Yossi Ben Yo'ezer St.,80
,,
976,41 Avraham Elmaliach St.,40
,,
981,27 Avraham Elmaliach St.,40
987,38 Yohanan Ben Zakai St.,80
,,
721,29 Uruguay St.,104
,,
722,67 Avraham Stern St.,104
,,
723,51 Avraham Stern St.,104
724,9 Volta Ilit St.,72
,,
736,8 Chile St.,160
737,32 Janus Korczak St.,120
738,78 Anielewicz St.,72
739,3 Schmorak St.,72
740,7 Yisrael Zangvil St.,72
741,5 Yisrael Zangvill St.,72
,,
814,3 Volta Ilit St.,104
814 A,3 Volta Ilit St.,104
,,
815,2 Aharon Rabinovich St.,134
,,
815 A,2 Aharon Rabinovich St.,136
947,17 Sireni St.,80
963,11 Yisrael Zangvill St.,80
964 - Temporarily Inactive,8 Meir Grunwald St.,144
983,10 Gordon St.,80
991,2 Avraham Sharon St.,80
992,19 Etinger St.,80
993,3 Kleinman St.,80
729,7 Dahomey St.,200
730,3 Dahomey St.,156
731,16 Colombia St.,160
732,7 Colombia St.,128
734,17 Iceland St.,104
734 A,17 Iceland St.,136
,,
803,17 Henrietta Szold St.,90
,,
827,4 Mexico St.,80
748,2 Ha'ilui St.,107
,,
,,
,,
,,
977,23 Gat St.,80
978,13 HaRav Tzvi Yehuda St.,80
667,22 HaPalmach St.,144
668,15 HaRav Brodi St.,136
,,
971,16 HaPalmach St.,80
726 B,125 HaNurit St.,96
726 A,124 HaNurit St.,80
646,4 Eliyahu Mani St.,32
648,15 Nahar Prat St.,188
821,24 Einayim LaMishpat St.,96
935,28 Be'er Sheva St.,136
961,17 Even Sapir St.,80
813,7 Kdoshei Struma St.,96
624 - Temporarily Inactive,17 Lapidot St.,32
632,87 Me'a She'arim St.,64
,,
826,6 Otsar HaSfarim St.,120
,,
641,25 Kfar Nahum St.,144
643,73 Malkei Israel St.,320
806 - Temporarily Inactive,12 Gesher HaHaim St.,152
812,109 Rashi St.,88
839,14 Tashbatz St.,80
909,7 Yehuda HaMaccabi St.,96
706 - Temporarily Inactive,42 Mekor Haim St.,36
653,3 Mishmarot St.,32
,,
751,10 HaAyin Het St.,80
,,
752,21 HaAyin Het St.,80
753,16 Kheil HaHandasa St.,80
657,21 Tsfat St.,400
939,17 Neve Sha'anan St.,80
669,42 HaPalmach St.,104
671,22 Kaf Tet BeNovember St.,128
,,
696 - Temporarily Inactive,3 Reish Lakish St.,131
702,12 Halafta St.,304
,,
703,53 Yohanan Ben Zakai St.,136
923,15 Elazar HaModa'i St.,80
937,38 Hizkiyahu HaMelech St.,80
,,
658,13 Ibn Ezra St.,64
659,15 Ibn Gabirol St.,128
809,9 Rashba St.,72
810,9 Ovadia MeBartenora St.,120
816,50 Azza St.,96
835,18 Arlozorov St.,152
972,26 AlHarizi St.,80
606,1 Pnina St.,64
750,5 Zichron Ya'akov St.,104
933,38 HaMem Gimel St.,80
975 A,15 Zichron Ya'akov St.,40
975 B,17 Zichron Ya'akov St.,40
975 C,19 Zichron Ya'akov St.,40
975 D,21 Zichron Ya'akov St.,40
979,10 Zichron Ya'akov St.,80
601,1 Gan Sanhedrin St.,36
602,6 HaSanhedrin St.,80
,,
603,10 HaRav Bloy St.,96
,,
604,8 Shimon Hacham St.,80
605,2 Bar Ilan St.,400
616,61 Shmuel Hanavi St.,80
617,3 Gmul St.,32
618,66 Shmuel HaNavi St.,137
957,19 Avinadav St.,360
997 - Temporarily Inactive,Shikunei Nuseiba,80
656,19 Keren HaYesod St.,200
807,7 Benjamin Disraeli St.,92
,,
679,59 Hebron Rd.,160
688,18 Efrata St.,160
689,10 Ben Gavriel St.,72
690,12 Klausner St.,192
,,
691,93 Bethlehem Rd.,352
940,17 Shalom Yehuda St.,80
928,8 Pri Hadash St.,104
